time	Cell voltage
12:04:35	3,270666
12:04:36	3,270660
12:04:38	3,270646
12:04:39	3,270625
12:04:41	3,270628
12:04:42	3,270614
12:04:44	3,270611
12:04:45	3,270594
12:04:46	3,270590
12:04:48	3,270580
12:04:49	3,270567
12:04:51	3,270562
12:04:52	3,270548
12:04:54	3,270538
12:04:55	3,270532
12:04:57	3,270518
12:04:58	3,270506
12:04:59	3,270499
12:05:13	3,270485
12:05:02	3,270477
12:05:04	3,270471
12:05:05	3,270458
12:05:07	3,270450
12:05:08	3,270441
12:05:09	3,270431
12:05:11	3,270418
12:05:12	3,270408
12:05:14	3,270396
12:05:15	3,270385
12:05:17	3,270379
12:05:18	3,270366
12:05:20	3,270355
12:05:21	3,270343
12:05:22	3,270341
12:05:24	3,270328
12:05:25	3,270314
12:05:27	3,270305
12:05:28	3,270292
12:05:30	3,270283
12:05:31	3,270275
12:05:32	3,270267
12:05:34	3,270252
12:05:35	3,270240
12:05:37	3,270228
12:05:38	3,270221
12:05:40	3,270215
12:05:41	3,271399
12:05:43	3,271390
12:05:44	3,271377
12:05:45	3,271364
12:05:47	3,271347
12:05:48	3,271347
12:05:50	3,271342
12:06:00	3,270067
12:06:11	3,269980
12:06:21	3,269899
12:06:31	3,269814
12:06:42	3,269733
12:06:52	3,269657
12:07:03	3,269561
12:07:13	3,269465
12:07:24	3,269384
12:07:34	3,269295
12:07:45	3,269067
12:07:55	3,268850
12:08:05	3,268773
12:08:16	3,268689
12:08:26	3,268602
12:08:37	3,268507
12:08:47	3,268419
12:08:58	3,268328
12:09:08	3,268233
12:09:19	3,268137
12:09:29	3,268034
12:09:39	3,267944
12:09:50	3,267840
12:10:00	3,267739
12:10:11	3,267634
12:10:21	3,267537
12:10:32	3,267431
12:10:42	3,267319
12:10:52	3,267211
12:11:03	3,267102
12:11:13	3,266993
12:11:24	3,266876
12:11:34	3,266765
12:11:45	3,266647
12:11:55	3,266525
12:12:06	3,266411
12:12:16	3,266283
12:12:26	3,266154
12:12:37	3,266031
12:12:47	3,265903
12:12:58	3,265773
12:13:08	3,265648
12:13:19	3,265505
12:13:29	3,265372
12:13:39	3,265240
12:13:50	3,265100
12:14:00	3,264955
12:14:11	3,264812
12:14:21	3,264670
12:14:32	3,264523
12:14:42	3,264374
12:14:53	3,264223
12:15:03	3,264070
12:15:13	3,263914
12:15:24	3,263759
12:15:34	3,263592
12:15:45	3,263431
12:15:55	3,263267
12:16:06	3,262026
12:16:16	3,262260
12:16:26	3,262339
12:16:37	3,262242
12:16:47	3,262100
12:16:58	3,261935
12:17:08	3,261774
12:17:19	3,261594
12:17:29	3,261418
12:17:40	3,261236
12:17:50	3,261042
12:18:00	3,260851
12:18:11	3,260662
12:18:21	3,260457
12:18:32	3,260258
12:18:42	3,260048
12:18:53	3,259838
12:19:03	3,259625
12:19:13	3,259408
12:19:24	3,259187
12:19:34	3,258969
12:19:45	3,258748
12:19:55	3,258513
12:20:06	3,258281
12:20:16	3,258047
12:20:27	3,257811
12:20:37	3,257571
12:20:47	3,257324
12:20:58	3,257078
12:21:08	3,256832
12:21:19	3,256574
12:21:29	3,256324
12:21:40	3,256060
12:21:50	3,255806
12:22:00	3,255536
12:22:11	3,255267
12:22:21	3,255001
12:22:32	3,254733
12:22:42	3,254455
12:22:53	3,254187
12:23:03	3,253910
12:23:14	3,253632
12:23:24	3,253357
12:23:34	3,253072
12:23:45	3,252790
12:23:55	3,252508
12:24:06	3,252230
12:24:16	3,251946
12:24:27	3,251658
12:24:37	3,251368
12:24:47	3,251090
12:24:58	3,250800
12:25:08	3,250513
12:25:19	3,250227
12:25:29	3,249943
12:25:40	3,249661
12:25:50	3,249378
12:26:13	3,249097
12:26:11	3,248820
12:26:21	3,248538
12:26:32	3,248267
12:26:42	3,247991
12:26:53	3,247713
12:27:03	3,247451
12:27:14	3,247186
12:27:24	3,246917
12:27:35	3,246659
12:27:45	3,246396
12:27:55	3,246141
12:28:06	3,245889
12:28:16	3,245637
12:28:27	3,245388
12:28:37	3,245144
